misalignment,slide,gap,rx_self_inductance,tx_self_inductance,mutual_inductance
10,60,200,96.35383673,96.57794704,0.517141827
20,60,100,96.45989959,96.3262413,2.600255695
20,60,120,96.44017399,95.89339718,1.769096986
20,60,140,96.91759351,96.02949659,1.262515433
20,60,160,96.20327336,95.63818614,0.904057304
20,60,180,96.26458013,95.94010516,0.679229848
20,60,200,97.04588705,96.38634826,0.521043811
-20,80,100,96.52847978,95.76020878,1.622847686
-20,80,120,nan,nan,nan
-20,80,140,96.80189104,96.593725,0.872998431
-20,80,160,95.80504264,95.95869966,0.646011519
-20,80,180,96.98513979,96.53393089,0.511249779
-20,80,200,96.57542622,96.57667027,0.393311864
-10,80,100,96.17488812,95.41068594,1.837217276
-10,80,120,96.43737794,95.56486246,1.325250922
-10,80,140,96.64925526,96.64315007,0.976147516
-10,80,160,96.39441716,95.78795183,0.724747891
-10,80,180,96.14454615,95.45328512,0.558227032
-10,80,200,95.42502383,96.09160048,0.432413769
0,80,100,96.60353996,96.27968794,2.000688725
0,80,120,95.57464479,96.21692504,1.423134483
0,80,140,96.24937104,95.59174856,1.04653489
0,80,160,96.51499954,96.36971723,0.793801486
0,80,180,96.41729855,96.01347463,0.601059753
0,80,200,96.26311093,96.23218151,0.468412976
10,80,100,95.5101664,95.88237919,2.109414045
10,80,120,95.83961201,95.87136602,1.508645476
10,80,140,95.98390475,96.3495251,1.104128325
10,80,160,96.5691271,96.18569948,0.825264085
10,80,180,95.41446886,95.49703693,0.619912769
10,80,200,96.71861058,96.35016563,0.486744714
20,80,100,96.34230499,96.24644529,2.209415584
20,80,120,96.17833075,95.58971553,1.554890255
20,80,140,96.2861709,96.56536925,1.141629124
20,80,160,95.9406121,95.8321958,0.844229313
20,80,180,95.94063372,95.7778094,0.637180419
20,80,200,96.52415347,95.51482234,0.493755092
-20,100,100,96.98271741,95.78274673,1.127911386
-20,100,120,95.83233596,96.51317048,0.882992387
-20,100,140,96.29020649,96.39669159,0.693084373
-20,100,160,96.97387288,96.39345023,0.549222646
-20,100,180,96.14741317,96.00126567,0.430307585
-20,100,200,96.79622926,96.46588255,0.345271188
-10,100,100,96.24859888,96.23214195,1.381436728
-10,100,120,96.47877957,95.5985535,1.05603499
-10,100,140,96.6083136,96.49843116,0.811069897
-10,100,160,96.74344246,95.86607578,0.627883598
-10,100,180,96.29546771,95.84779255,0.49081572
-10,100,200,96.55454692,95.78398108,0.391720226
0,100,100,96.11347511,96.05599759,1.561633697
0,100,120,96.69593563,96.45900659,1.18495154
0,100,140,96.19302232,96.06230246,0.8903394
0,100,160,95.9885312,96.56079149,0.690799861
0,100,180,96.29993397,96.54586962,0.541897303
0,100,200,96.65211112,95.68400447,0.424123656
10,100,100,96.02633461,95.73437687,1.688318892
10,100,120,96.11187171,95.67399345,1.267591923
10,100,140,96.49105518,96.40547222,0.962021603
10,100,160,96.32502547,96.27192859,0.734782979
10,100,180,96.12355289,96.51762988,0.573194934
10,100,200,96.70058593,96.1124585,0.452205045
20,100,100,96.43601974,96.33592894,1.79744848
20,100,120,95.98502023,95.7019824,1.329749986
20,100,140,96.58344835,96.14286818,1.00976748
20,100,160,96.36329448,95.96309889,0.767032704
20,100,180,96.79534289,95.96093367,0.58895747
20,100,200,96.91659802,96.22622774,0.463939833
