misalignment,slide,gap,rx_self_inductance,tx_self_inductance,mutual_inductance
10,60,180,96.39907069,95.68488037,0.648452549
10,60,200,96.32019592,96.5439137,0.49171286
20,60,100,96.42748489,96.29356255,2.573380368
20,60,120,96.40744111,95.86036642,1.742590653
20,60,140,96.88408342,95.9959318,1.236125557
20,60,160,96.16996661,95.60494728,0.878654365
20,60,180,96.23069891,95.90622753,0.654129126
20,60,200,97.01186577,96.35238476,0.496539883
-20,80,100,96.49562225,95.72752455,1.596628663
-20,80,120,nan,nan,nan
-20,80,140,96.76833219,96.56015187,0.847437872
-20,80,160,95.77186048,95.92526907,0.621472626
-20,80,180,96.95107666,96.49971517,0.486733444
-20,80,200,96.54157319,96.54274504,0.369772675
-10,80,100,96.14205391,95.37776772,1.80947475
-10,80,120,96.40409827,95.53168059,1.297867267
-10,80,140,96.61588343,96.60971581,0.949268077
-10,80,160,96.36098573,95.75448786,0.698683585
-10,80,180,96.11064603,95.41925433,0.53262254
-10,80,200,95.39130579,96.05740258,0.407635643
0,80,100,96.5709391,96.24715486,1.972500407
0,80,120,95.54180939,96.18370287,1.395321141
0,80,140,96.21598313,95.55833846,1.019186994
0,80,160,96.48129691,96.33559299,0.766702585
0,80,180,96.38342961,95.97941386,0.574783297
0,80,200,96.22916661,96.19789404,0.44282103
10,80,100,95.47768489,95.8493714,2.081532088
10,80,120,95.8067561,95.83802047,1.481102117
10,80,140,95.95074423,96.31586935,1.07699404
10,80,160,96.53548932,96.15197112,0.798634309
10,80,180,95.38089121,95.46306632,0.594136574
10,80,200,96.68460814,96.31617704,0.461421959
20,80,100,96.30974493,96.21352105,2.18270249
20,80,120,96.14517664,95.55665319,1.528512214
20,80,140,96.25294461,96.53170829,1.115548765
20,80,160,95.90708659,95.7982279,0.818691003
20,80,180,95.90680427,95.74400772,0.612332551
20,80,200,96.49007362,95.48074344,0.469457061
-20,100,100,96.94941191,95.74972002,1.101827044
-20,100,120,95.79920722,96.47951154,0.857379108
-20,100,140,96.25667297,96.36284581,0.667942643
-20,100,160,96.93988057,96.35933764,0.524491142
-20,100,180,96.11343905,95.96700352,0.406374594
-20,100,200,96.76222396,96.43164523,0.321956493
-10,100,100,96.21585542,96.19895824,1.354022853
-10,100,120,96.44522235,95.5649078,1.028846268
-10,100,140,96.57476286,96.46474459,0.784472492
-10,100,160,96.70970391,95.83238921,0.602018604
-10,100,180,96.26143304,95.81372385,0.465503127
-10,100,200,96.52034817,95.74962087,0.367008095
0,100,100,96.08068362,96.02278325,1.533587338
0,100,120,96.66265426,96.42545962,1.157187538
0,100,140,96.15984146,96.0285265,0.863315056
0,100,160,95.95501474,96.52685699,0.664244516
0,100,180,96.26605409,96.51161694,0.51585826
0,100,200,96.61813109,95.64992892,0.398958115
10,100,100,95.99357271,95.70124291,1.660690294
10,100,120,96.07874733,95.64049275,1.240281283
10,100,140,96.45765608,96.37175712,0.935091701
10,100,160,96.29142579,96.2381862,0.708468857
10,100,180,96.08979494,96.48340895,0.547381657
10,100,200,96.66624825,96.07820012,0.426970164
20,100,100,96.40354833,96.30275565,1.771007518
20,100,120,nan,nan,nan
20,100,140,96.54984634,96.10924704,0.983872224
20,100,160,96.32952138,95.92913794,0.74164654
20,100,180,96.76151674,95.92728666,0.564316604
20,100,200,96.88257334,96.19208953,0.439761491
